project_id,project_name,budget,contractor_name,location_latitude,location_longitude,project_type,expected_completion_date,current_status,is_verified
81aff446-34ba-4e97-9a41-ccc031a9a94d,EXISTING ROAD TO 2-LANE WITH PAVED (Oct-2024) (244.91),2070000000,MP Jal Nigam,26.204475,88.577151,sanitation,2025-06-22,Ongoing,True
34736dae-74ce-4c71-afdb-322b2d4f2f9b,521 (East Central Railway [ECR] - I) Bihar 0 0,1054100000000,DFCCIL,36.735078,74.743483,roads,2026-10-26,Delayed,True
22047199-0c09-439e-9b84-ccbe23b4c639,ROAD FROM KM 0.00 - KM 4.265 OF (Dec-2022) (N.A.),19220000000,HUDCO,22.086353,88.882463,public_works,2027-01-11,Ongoing,True
bafd5529-8c1b-4ccc-82e4-2bb2d24d85ca,"Strengthening Airport Terminal in Chennai District, Assam",10550000000,MoHUA,12.494487,81.882077,public_works,2025-05-04,Ongoing,True
bca12137-b135-4812-8771-7047a4237f02,"Expansion of Airport Terminal Stretch at Delhi, Assam",26990000000,MoHUA,19.045376,83.612163,public_works,2028-10-01,Ongoing,True
5b16f76b-d040-4974-bffb-2a36439d26ee,(AHMEDABAD BYPASS). {3/2027} {961.67},501730000000,RVNL,29.087297,79.472565,roads,2026-05-31,Ongoing,True
b1e7cb64-f39d-47e8-81f0-b3d26052c25a,606 (Central Railway) Maharashtra 288.08 17,356900000000,MRVC,17.098512,77.082024,roads,2029-04-21,Completed,True
f46ea45c-5852-4bb7-9873-94f71bb2992f,"Upgradation of District Hospital System at Bhopal, Andhra Pradesh",15940000000,HUDCO,27.269893,92.392304,public_works,2029-02-19,Ongoing,True
461ac859-0143-4f1f-b95a-456216b830b5,"Upgradation of Bypass Road System at Coimbatore, Telangana",24760000000,MRVC,18.538213,96.79452,roads,2027-06-23,Delayed,True
3a2e9e81-1afb-42cf-bc70-0ae081cec9b4,"EXPRESSWAY (PHASE-II PKG-XV) (Feb-2026) (2,714.95)",569710000000,DFCCIL,16.321412,89.843544,roads,2027-05-06,Ongoing,True
f1baf80c-498b-47cb-bbf5-65f96f0683bc,"Construction Bus Terminal for Dhanbad Municipal Area, Gujarat",19940000000,AAI,14.232314,78.429735,public_works,2028-02-13,Delayed,True
